lambda_a4_max_pop,1,0.91707,-0.0625983,-0.0412206,-0.00066353,-0.0424206,0.776539,-0.0987896,-0.0520382,0.0245424,-0.0833401,-0.0805415,0.402643,0.0178416
lambda_a4_50_pop,0.91707,1,-0.0829214,-0.0205883,0.0245098,-0.0539914,0.570608,-0.307853,-0.135648,-0.0666338,-0.0663057,0.0158664,0.331002,0.00919401
lambda_n4_max_pop,-0.0625983,-0.0829214,1,-0.270669,-0.751239,0.147584,0.165423,-0.00371526,-0.00607606,-0.03233,0.0321678,0.0471153,0.193349,0.0159066
lambda_n4_50_pop,-0.0412206,-0.0205883,-0.270669,1,0.234392,0.75534,-0.0219034,-0.0203587,-0.0172421,0.00267647,0.00892604,-0.000850282,-0.0187218,-0.924534
m_rte4_max_pop,-0.00066353,0.0245098,-0.751239,0.234392,1,-0.137892,-0.278396,0.0598487,0.0299401,0.0925701,-0.148903,-0.134838,-0.402933,-0.0525387
m_rte4_50_pop,-0.0424206,-0.0539914,0.147584,0.75534,-0.137892,1,0.0227299,-0.00428135,-0.0285196,0.0260725,-0.0452214,-0.0284246,-0.0242341,-0.866592
fi_cm4_50_pop,0.776539,0.570608,0.165423,-0.0219034,-0.278396,0.0227299,1,0.031524,0.00515463,0.056612,-0.110297,-0.108069,0.521041,0.0109048
age_50_pop,-0.0987896,-0.307853,-0.00371526,-0.0203587,0.0598487,-0.00428135,0.031524,1,0.511219,0.315607,-0.154416,-0.308979,-0.157218,0.0188175
omega_em4_lung_bl_max_pop,-0.0520382,-0.135648,-0.00607606,-0.0172421,0.0299401,-0.0285196,0.00515463,0.511219,1,0.0331549,-0.0478321,-0.23102,-0.108522,0.015858
omega_eff4_bl_tis_max_pop,0.0245424,-0.0666338,-0.03233,0.00267647,0.0925701,0.0260725,0.056612,0.315607,0.0331549,1,-0.105734,-0.29985,-0.0143367,0.00718689
omega_a4_lt_bl_50_pop,-0.0833401,-0.0663057,0.0321678,0.00892604,-0.148903,-0.0452214,-0.110297,-0.154416,-0.0478321,-0.105734,1,0.119798,0.0558176,-0.0198931
omega_eff4_lt_bl_50_pop,-0.0805415,0.0158664,0.0471153,-0.000850282,-0.134838,-0.0284246,-0.108069,-0.308979,-0.23102,-0.29985,0.119798,1,0.101753,-0.0109927
omega_cm4_lt_bl_50_pop,0.402643,0.331002,0.193349,-0.0187218,-0.402933,-0.0242341,0.521041,-0.157218,-0.108522,-0.0143367,0.0558176,0.101753,1,-0.00479061
omega_rte4_bl_lt_50_pop,0.0178416,0.00919401,0.0159066,-0.924534,-0.0525387,-0.866592,0.0109048,0.0188175,0.015858,0.00718689,-0.0198931,-0.0109927,-0.00479061,1
